ID,Name,Address,ZipCode,FIPS_CODE,Pickup_InStore,Pickup_Curbside,Local_Delivery,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,2019_sale
67,Michigan-Georgetown Township,334 Chicago Dr,49428,26139,1.0,1.0,,369186,1538,4039,3014,1025,306,221,527,-14,39.11283647,44.5396888,-5.426852329,1.546362417,-9.716021264,-8.169658848,9356814.0
68,Kentucky-Lexington,1996 Pavilion Way,40509,42116,1.0,1.0,,3914158,48639,45404,33614,11790,359,36325,36684,165,258.9174506,239.4900923,19.42735829,8.880188405,-12.6906492,-3.81046081,12364804.0
69,Indiana-Noblesville,301 Noble Creek Dr,46060,36152,1.0,1.0,1.0,2989985,21210,35499,27854,7645,2952,10639,13591,-26,327.7204406,289.71394260000005,38.00649807,19.70719038,31.80037564,51.50756601,11062181.0
70,South Carolina-Greenville,35 Park Woodruff Dr,29607,45045,1.0,1.0,1.0,523542,8921,6308,4496,1812,1469,5618,7087,22,12.15223428,8.66145297,3.4907813130000003,2.829998757,10.82296325,13.65296201,12235158.0
71,Indiana-Indianapolis NW,3015 W 86th St,46268,54165,1.0,1.0,1.0,4189133,30526,51820,39362,12458,7700,10403,18103,-35,380.46506760000005,383.55021760000005,-3.085149986,20.36868014,-5.466035885,14.90264425,6823921.0
72,Indiana-Greenwood,7667 Shelby St,46227,18097,1.0,1.0,1.0,2078042,13812,26459,21106,5353,4837,3626,8463,-4,184.2375925,203.8043482,-19.56675571,6.121413177000001,11.12257775,17.24399094,
73,Kentucky-Jeffersontown,11501 Bluegrass Pkwy,40299,42140,1.0,1.0,1.0,3304298,-963,38844,32779,6065,2065,-9045,-6980,-48,283.0200982,274.4780257,8.542072528,13.61219229,-22.85081264,-9.238620341,16352943.0
74,South Carolina-Charleston,6185 Rivers Ave,29406,90034,1.0,1.0,1.0,758484,13844,8909,6333,2576,614,10601,11215,53,35.61177515,25.15395216,10.45782299,1.5086978219999998,46.82978154,48.33847936,11501310.0
75,Indiana-Avon,216 Gable Crossing Dr,46123,18063,1.0,1.0,1.0,170311,3403,1731,1139,592,273,2539,2812,-1,10.26632544,6.755254004,3.51107144,1.61912585,15.05846349,16.67758934,4500109.0
76,Indiana-Lafayette,3530 State Road 38,47905,54195,1.0,1.0,,1117592,4257,11750,10570,1180,2349,742,3091,-14,239.8397915,245.8934065,-6.05361507,15.62368165,17.56484367,33.18852532,6117445.0
77,Tennessee-Farragut,11501 Parkside Dr,37934,47093,1.0,1.0,1.0,705800,4019,7729,7250,479,916,2628,3544,-4,101.1322411,102.6576609,-1.5254197390000002,5.068199793,-6.512819453,-1.44461966,11418952.0
